@RG	ID:synthetic_brca1
CONTIG	START	END	COUNT
chr17	43044295	43045294	1263
chr17	43045295	43046294	1136
chr17	43047174	43048173	921
chr17	43048658	43049657	1417
chr17	43050600	43051599	1056
chr17	43056600	43057599	1045
chr17	43062853	43063852	1066
chr17	43063853	43064852	874
chr17	43067152	43068151	1231
chr17	43070583	43071582	572
chr17	43073000	43073999	485
chr17	43073926	43074925	522
chr17	43076052	43077051	504
chr17	43079000	43079999	1112
chr17	43090488	43091487	792
chr17	43091435	43092434	1378
chr17	43092435	43093434	1619
chr17	43093435	43094434	1639
chr17	43094435	43095434	1371
chr17	43095384	43096383	986
chr17	43096767	43097766	1208
chr17	43099328	43100327	985
chr17	43103692	43104691	1355
chr17	43104692	43105691	968
chr17	43105994	43106993	897
chr17	43115253	43116252	757
chr17	43123566	43124565	691
chr17	43124818	43125817	828
