# normalization=median-of-ratios
# baseline=synthetic-variable-counts
# samples=20
# lower_percentile=5
# upper_percentile=95
CONTIG	START	END	BASELINE_MEDIAN	N	BG_NORM_MEAN	BG_NORM_MEDIAN	BG_NORM_SD	BG_NORM_P5	BG_NORM_P95
chr17	43044295	43045294	1180	20	1187	1180	93	1036	1333
chr17	43045295	43046294	1125	20	1116	1125	82	998	1260
chr17	43047174	43048173	980	20	998	980	82	853	1115
chr17	43048658	43049657	1265	20	1249	1265	111	1093	1448
chr17	43050600	43051599	910	20	929	910	70	802	1026
chr17	43056600	43057599	1005	20	1013	1005	81	879	1139
chr17	43062853	43063852	1088	20	1084	1088	81	962	1222
chr17	43063853	43064852	960	20	973	960	83	831	1097
chr17	43067152	43068151	1195	20	1184	1195	94	1049	1350
chr17	43070583	43071582	1040	20	1058	1040	86	907	1182
chr17	43073000	43073999	990	20	999	990	74	875	1112
chr17	43073926	43074925	1135	20	1127	1135	101	978	1302
chr17	43076052	43077051	970	20	985	970	76	852	1095
chr17	43079000	43079999	1030	20	1019	1030	84	900	1169
chr17	43090488	43091487	890	20	908	890	76	772	1015
chr17	43091435	43092434	1325	20	1318	1325	101	1168	1492
chr17	43092435	43093434	1420	20	1436	1420	124	1228	1625
chr17	43093435	43094434	1490	20	1469	1490	121	1302	1690
chr17	43094435	43095434	1385	20	1410	1385	102	1227	1553
chr17	43095384	43096383	1060	20	1064	1060	93	916	1213
chr17	43096767	43097766	1140	20	1131	1140	90	1000	1288
chr17	43099328	43100327	1015	20	1031	1015	84	885	1154
chr17	43103692	43104691	1210	20	1206	1210	93	1066	1363
chr17	43104692	43105691	940	20	951	940	81	814	1074
chr17	43105994	43106993	975	20	963	975	78	854	1104
chr17	43115253	43116252	860	20	876	860	72	748	979
chr17	43123566	43124565	720	20	724	720	56	633	812
chr17	43124818	43125817	760	20	755	760	62	664	862
